[[-0.4899928569793701], [0.8159477710723877], [0.054451704025268555], [0.4017435312271118]]
[[-0.4905467927455902], [0.8153741359710693], [0.053877998143434525], [0.4011702537536621]]
[[-0.49058377742767334], [0.8153342604637146], [0.053837839514017105], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
[[-0.49058377742767334], [0.8153342604637146], [0.053836531937122345], [0.40113040804862976]]
