[[-0.021320462226867676], [0.4820321798324585], [0.995307207107544], [-0.6635652184486389]]
[[1.4559420347213745], [-0.8518737554550171], [-0.9169831871986389], [0.4098082482814789]]
[[1.125895619392395], [-0.47995343804359436], [-1.3736779689788818], [0.6156145334243774]]
[[1.2055878639221191], [-0.5936775803565979], [-1.228568434715271], [0.5531753301620483]]
[[1.1826776266098022], [-0.5784235000610352], [-1.2343494892120361], [0.5552545189857483]]
[[1.1700180768966675], [-0.5824939608573914], [-1.2039140462875366], [0.5497282147407532]]
[[1.1702783107757568], [-0.5786173343658447], [-1.2013938426971436], [0.5492749810218811]]
[[1.1681822538375854], [-0.5792460441589355], [-1.2017161846160889], [0.5477637648582458]]
[[1.1681721210479736], [-0.5787283778190613], [-1.200859546661377], [0.5483204126358032]]
[[1.1683235168457031], [-0.5783771276473999], [-1.200452446937561], [0.5487240552902222]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
[[1.1687361001968384], [-0.5779889225959778], [-1.199917197227478], [0.5491881966590881]]
