[[-0.5590888857841492], [1.0103528499603271], [-0.048330068588256836], [0.2908670902252197]]
[[-0.7421582937240601], [0.7813963890075684], [-0.2868212163448334], [0.06530918926000595]]
[[-0.7440266013145447], [0.7779250741004944], [-0.2894233167171478], [0.062041349709033966]]
[[-0.7440616488456726], [0.777851939201355], [-0.28946977853775024], [0.061990510672330856]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
[[-0.7440618872642517], [0.7778501510620117], [-0.2894725799560547], [0.06198795512318611]]
