[[-0.779047429561615], [0.8864624500274658], [0.7922607660293579], [0.2626751661300659]]
[[0.7400165796279907], [-0.29093149304389954], [-0.6362818479537964], [0.383200079202652]]
[[0.8797150254249573], [-0.34466785192489624], [-0.749799370765686], [0.27375397086143494]]
[[1.1961039304733276], [-0.8045791983604431], [-1.3182460069656372], [0.82527095079422]]
[[1.034971833229065], [-0.6113920211791992], [-1.1253399848937988], [0.6853844523429871]]
[[1.0113377571105957], [-0.5915400981903076], [-1.11947500705719], [0.6352884769439697]]
[[0.8815393447875977], [-0.5949751734733582], [-0.8809412121772766], [0.6108216047286987]]
[[0.9422509670257568], [-0.573381245136261], [-0.9491735100746155], [0.5755422115325928]]
[[0.9558860063552856], [-0.5639911890029907], [-0.998997688293457], [0.5900846719741821]]
[[1.0145846605300903], [-0.5394247770309448], [-1.0166999101638794], [0.5547252893447876]]
[[0.9700399041175842], [-0.5667316913604736], [-0.9922339916229248], [0.5775626301765442]]
[[0.9288249015808105], [-0.5827054381370544], [-0.937004566192627], [0.6048370003700256]]
[[0.9301769137382507], [-0.5776793956756592], [-0.9517869353294373], [0.5914959907531738]]
[[0.9632554650306702], [-0.544498085975647], [-0.9465689659118652], [0.5879238843917847]]
[[0.9504883289337158], [-0.5544744729995728], [-0.9524665474891663], [0.577418327331543]]
[[0.9440045952796936], [-0.563401997089386], [-0.9610491991043091], [0.5702069401741028]]
[[0.9399272799491882], [-0.5670488476753235], [-0.9652482271194458], [0.5666265487670898]]
[[0.9649417400360107], [-0.554821789264679], [-0.9827496409416199], [0.5581237077713013]]
[[0.9615879654884338], [-0.560063362121582], [-0.994168221950531], [0.5475546717643738]]
[[0.9669405817985535], [-0.5557711124420166], [-0.9916502237319946], [0.5511172413825989]]
[[0.9705831408500671], [-0.5534160733222961], [-0.9902681708335876], [0.5536800622940063]]
[[0.9722721576690674], [-0.5522963404655457], [-0.9910058975219727], [0.5536698698997498]]
[[0.9744700193405151], [-0.5507607460021973], [-0.9899221062660217], [0.5552235841751099]]
[[0.9734867215156555], [-0.55186927318573], [-0.9916326403617859], [0.5538789629936218]]
[[0.9736998677253723], [-0.5518175363540649], [-0.9923595190048218], [0.5533328056335449]]
[[0.9736521244049072], [-0.5520420670509338], [-0.9930916428565979], [0.5528923869132996]]
[[0.9736361503601074], [-0.5520622134208679], [-0.9931261539459229], [0.5528830885887146]]
[[0.9738911390304565], [-0.5518260598182678], [-0.9927359819412231], [0.5532912015914917]]
