[[0.5679105520248413], [-0.18102967739105225], [-0.9270994067192078], [-0.47537100315093994]]
[[1.016688346862793], [0.04643665626645088], [-0.8584659099578857], [-0.10194211453199387]]
[[0.9421243071556091], [-0.18487568199634552], [-0.7484416961669922], [0.02439592219889164]]
[[0.7758938670158386], [-0.32790395617485046], [-0.623299241065979], [0.19784662127494812]]
[[0.7926878333091736], [-0.34551286697387695], [-0.6729376316070557], [0.19801932573318481]]
[[0.792594850063324], [-0.3568815588951111], [-0.691645622253418], [0.20578564703464508]]
[[0.8085347414016724], [-0.3411783277988434], [-0.6879489421844482], [0.21888408064842224]]
[[0.8163013458251953], [-0.33784428238868713], [-0.6857337355613708], [0.2240544855594635]]
[[0.8141216039657593], [-0.3413159251213074], [-0.6877059936523438], [0.22319646179676056]]
[[0.8145286440849304], [-0.34163302183151245], [-0.6888620853424072], [0.22329729795455933]]
[[0.8140319585800171], [-0.3423180878162384], [-0.6894630193710327], [0.222767174243927]]
[[0.8140115737915039], [-0.342402845621109], [-0.6894378066062927], [0.2228853702545166]]
[[0.8141006231307983], [-0.3423464298248291], [-0.6894211769104004], [0.22293499112129211]]
[[0.8141039609909058], [-0.3423337936401367], [-0.6894396543502808], [0.222935289144516]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22292034327983856]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
[[0.8141039609909058], [-0.3423471450805664], [-0.6894396543502808], [0.22291429340839386]]
