[[0.6561092138290405], [0.3512120246887207], [0.08199834823608398], [-0.579849362373352]]
[[0.9241033792495728], [0.013566188514232635], [-0.7293962240219116], [-0.06508808583021164]]
[[0.9942306876182556], [-0.2336573600769043], [-0.8088268637657166], [0.13498644530773163]]
[[0.9272355437278748], [-0.2995927035808563], [-0.8438506126403809], [0.14413700997829437]]
[[0.9404250383377075], [-0.2863977551460266], [-0.8325896859169006], [0.1629936397075653]]
[[0.9336773753166199], [-0.2929264307022095], [-0.8350080251693726], [0.1612885743379593]]
[[0.9333136081695557], [-0.29336050152778625], [-0.8349857926368713], [0.16141393780708313]]
[[0.9334922432899475], [-0.29331979155540466], [-0.8349364399909973], [0.1614871770143509]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.1615048050880432]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
[[0.9335160851478577], [-0.29332613945007324], [-0.8349079489707947], [0.16150560975074768]]
