[[0.5019652843475342], [-0.8123583793640137], [-0.3486013412475586], [-0.36137378215789795]]
[[0.6410164833068848], [-0.6723392605781555], [-0.21474936604499817], [-0.22265419363975525]]
[[0.6567175388336182], [-0.6565125584602356], [-0.20190761983394623], [-0.20759554207324982]]
[[0.6579759120941162], [-0.6552044153213501], [-0.20072349905967712], [-0.20628024637699127]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
[[0.6580464243888855], [-0.6551322340965271], [-0.20060938596725464], [-0.20615583658218384]]
