[[0.25238728523254395], [-1.0184556245803833], [-0.1664663553237915], [-1.0802056789398193]]
[[0.898167073726654], [-0.34568148851394653], [0.28463974595069885], [-0.43157660961151123]]
[[0.9170808792114258], [-0.2618780732154846], [0.20665524899959564], [-0.3555718958377838]]
[[0.8880426287651062], [-0.29959550499916077], [0.08982985466718674], [-0.3716200888156891]]
[[0.874488115310669], [-0.31193608045578003], [0.06438148021697998], [-0.36619678139686584]]
[[0.8678216338157654], [-0.31300023198127747], [0.04490068554878235], [-0.3656877279281616]]
[[0.8699403405189514], [-0.30911925435066223], [0.046807579696178436], [-0.36114537715911865]]
[[0.8705999255180359], [-0.3078780174255371], [0.047037966549396515], [-0.35955169796943665]]
[[0.8709191679954529], [-0.3074195683002472], [0.04655209928750992], [-0.3591883182525635]]
[[0.8711873292922974], [-0.3069399297237396], [0.046345919370651245], [-0.3586675524711609]]
[[0.8712876439094543], [-0.3068627417087555], [0.04631209746003151], [-0.35856443643569946]]
[[0.8712636828422546], [-0.30686306953430176], [0.04624829813838005], [-0.35858142375946045]]
[[0.8712316155433655], [-0.3068857192993164], [0.0461907759308815], [-0.3586069345474243]]
[[0.8712354898452759], [-0.30686402320861816], [0.046183034777641296], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.046183355152606964], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04618082195520401], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
[[0.8712354898452759], [-0.30686402320861816], [0.04617854580283165], [-0.358582466840744]]
