[[0.8727743625640869], [0.7329913377761841], [0.5011941194534302], [-0.8817670941352844]]
[[0.7891190052032471], [0.5289495587348938], [0.14937694370746613], [-0.9695496559143066]]
[[0.7561116218566895], [0.4531538486480713], [0.009096957743167877], [-0.9012291431427002]]
[[0.7333258390426636], [0.41021665930747986], [-0.13330577313899994], [-0.8426955342292786]]
[[0.7583131194114685], [0.40129196643829346], [-0.16109608113765717], [-0.7917324900627136]]
[[0.7406561970710754], [0.35386738181114197], [-0.23619846999645233], [-0.7408311367034912]]
[[0.7524960041046143], [0.35970237851142883], [-0.25339561700820923], [-0.7028294801712036]]
[[0.7428371906280518], [0.33877596259117126], [-0.2970826029777527], [-0.6996189951896667]]
[[0.7625901699066162], [0.34499391913414], [-0.3031949996948242], [-0.6729161143302917]]
[[0.7807295322418213], [0.3485235869884491], [-0.30933713912963867], [-0.6357245445251465]]
[[0.7706461548805237], [0.32677555084228516], [-0.34429222345352173], [-0.6453533172607422]]
[[0.7657099366188049], [0.3214593529701233], [-0.34798184037208557], [-0.6388694643974304]]
[[0.7630299925804138], [0.3131796419620514], [-0.3568864166736603], [-0.6374251842498779]]
[[0.7655506134033203], [0.31244799494743347], [-0.3654113709926605], [-0.6295854449272156]]
[[0.7670244574546814], [0.31283459067344666], [-0.3658064007759094], [-0.62530118227005]]
[[0.7622231841087341], [0.30901899933815], [-0.36765891313552856], [-0.624643862247467]]
[[0.763508677482605], [0.3098849952220917], [-0.3675605058670044], [-0.6216731071472168]]
[[0.7630710005760193], [0.3087204098701477], [-0.37014785408973694], [-0.6194674372673035]]
[[0.76356440782547], [0.30895182490348816], [-0.3701401650905609], [-0.6179934144020081]]
[[0.7632274031639099], [0.30840036273002625], [-0.37001165747642517], [-0.6173408627510071]]
[[0.762877345085144], [0.3070639967918396], [-0.3715720772743225], [-0.6177723407745361]]
[[0.7641155123710632], [0.30776968598365784], [-0.37178462743759155], [-0.6165279150009155]]
[[0.7638940811157227], [0.30729174613952637], [-0.3725278377532959], [-0.616460919380188]]
[[0.7634015679359436], [0.30681943893432617], [-0.372830867767334], [-0.6164251565933228]]
[[0.7635630369186401], [0.3069152235984802], [-0.3728187084197998], [-0.6160808205604553]]
[[0.7631933093070984], [0.3066242039203644], [-0.37291833758354187], [-0.6157723069190979]]
[[0.7632795572280884], [0.306647390127182], [-0.37283602356910706], [-0.6156410574913025]]
[[0.7631485462188721], [0.3065578043460846], [-0.37286001443862915], [-0.6155555248260498]]
[[0.7632097005844116], [0.30656495690345764], [-0.3728612959384918], [-0.6154586672782898]]
[[0.7632253170013428], [0.30654433369636536], [-0.3728712201118469], [-0.6153449416160583]]
[[0.7631494998931885], [0.3064497709274292], [-0.3729439973831177], [-0.6153855323791504]]
[[0.7631331086158752], [0.30640873312950134], [-0.37298402190208435], [-0.6153879761695862]]
[[0.7631958723068237], [0.3064478039741516], [-0.3729599118232727], [-0.6153015494346619]]
[[0.7631598711013794], [0.3063817620277405], [-0.37303516268730164], [-0.6153193116188049]]
[[0.7631403803825378], [0.30636271834373474], [-0.3730396628379822], [-0.6153078079223633]]
[[0.7631592154502869], [0.306363582611084], [-0.3730369806289673], [-0.6152913570404053]]
[[0.7631404995918274], [0.3063570559024811], [-0.3730374276638031], [-0.6152743697166443]]
[[0.7631404995918274], [0.3063204884529114], [-0.3730672001838684], [-0.6152743697166443]]
[[0.7631404995918274], [0.30631130933761597], [-0.37306836247444153], [-0.6152743697166443]]
[[0.7631404995918274], [0.30631130933761597], [-0.37306836247444153], [-0.6152743697166443]]
[[0.7631404995918274], [0.30631130933761597], [-0.37306836247444153], [-0.6152743697166443]]
