[[0.05793273448944092], [-0.5678632855415344], [-0.7357956171035767], [0.6418279409408569]]
[[1.116066813468933], [-0.6307578086853027], [-0.9876774549484253], [0.6959803104400635]]
[[1.2268034219741821], [-0.6242477893829346], [-1.0764224529266357], [0.4823538362979889]]
[[1.2519396543502808], [-0.6136695146560669], [-1.0884208679199219], [0.4751136004924774]]
[[1.2421444654464722], [-0.619300127029419], [-1.0762048959732056], [0.48709583282470703]]
[[1.24467933177948], [-0.6159976124763489], [-1.0724557638168335], [0.4907664358615875]]
[[1.2429158687591553], [-0.6174330711364746], [-1.0733373165130615], [0.48956552147865295]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895106852054596]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
[[1.2429146766662598], [-0.6174740791320801], [-1.073397159576416], [0.4895124137401581]]
