[[-0.32258784770965576], [0.4298349618911743], [0.9403462409973145], [0.05984687805175781]]
[[1.6183452606201172], [-0.9026873707771301], [-1.0580347776412964], [0.58714759349823]]
[[1.2368230819702148], [-0.6142064929008484], [-1.3025623559951782], [0.6379541158676147]]
[[1.229690670967102], [-0.5729859471321106], [-1.2528506517410278], [0.5027828216552734]]
[[1.2232096195220947], [-0.5644112229347229], [-1.2377427816390991], [0.519407331943512]]
[[1.2194870710372925], [-0.565150260925293], [-1.2362256050109863], [0.5155863165855408]]
[[1.221828818321228], [-0.5619198083877563], [-1.2325671911239624], [0.5191949605941772]]
[[1.2215399742126465], [-0.562355101108551], [-1.2326942682266235], [0.5191293358802795]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
[[1.2215399742126465], [-0.5622490644454956], [-1.2326942682266235], [0.5192934274673462]]
