[[-0.8631476759910583], [0.9073128700256348], [-0.6173932552337646], [0.2644491195678711]]
[[-0.12497399002313614], [0.46538668870925903], [-0.7765911817550659], [0.2129063755273819]]
[[-0.014110502786934376], [0.4149888753890991], [-0.802800178527832], [0.20414097607135773]]
[[-0.017034783959388733], [0.3969109356403351], [-0.8297642469406128], [0.1858941614627838]]
[[-0.015697365626692772], [0.3972129225730896], [-0.8295367360115051], [0.18634875118732452]]
[[-0.01568043977022171], [0.39714640378952026], [-0.8295886516571045], [0.18630725145339966]]
[[-0.01568089798092842], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
[[-0.015681233257055283], [0.3971433639526367], [-0.8295886516571045], [0.18630467355251312]]
