[[-0.7779799699783325], [0.25991249084472656], [-0.6779175400733948], [0.8521765470504761]]
[[-0.7792836427688599], [0.2574361264705658], [-0.6803893446922302], [0.8492642045021057]]
[[-0.7793576717376709], [0.2569868862628937], [-0.6808453798294067], [0.8487518429756165]]
[[-0.7793698906898499], [0.2569502890110016], [-0.6808786988258362], [0.8487138748168945]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
[[-0.779370129108429], [0.25694844126701355], [-0.6808807849884033], [0.8487115502357483]]
