[[-0.7561730146408081], [-0.4685869812965393], [0.3364506959915161], [-0.31671738624572754]]
[[0.48546531796455383], [-0.11597990244626999], [-0.5509181618690491], [0.1198529452085495]]
[[0.6411922574043274], [-0.16873522102832794], [-0.6141752004623413], [0.1308184266090393]]
[[0.6597554683685303], [-0.19177165627479553], [-0.629738986492157], [0.13701489567756653]]
[[0.6637217998504639], [-0.19102966785430908], [-0.6324321627616882], [0.1407485008239746]]
[[0.6647091507911682], [-0.1912325918674469], [-0.632761538028717], [0.14136850833892822]]
[[0.6643941402435303], [-0.1917010247707367], [-0.6333362460136414], [0.1409449279308319]]
[[0.6643839478492737], [-0.19172854721546173], [-0.6333633065223694], [0.14093922078609467]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
[[0.6643839478492737], [-0.1917247474193573], [-0.6333633065223694], [0.1409483700990677]]
