[[-0.18753790855407715], [0.6563355922698975], [-0.387673556804657], [-0.8346749544143677]]
[[1.036047101020813], [-0.1585346758365631], [-1.2816650867462158], [0.2892400026321411]]
[[0.6524742841720581], [-0.22455944120883942], [-1.0995973348617554], [0.49448591470718384]]
[[1.0617940425872803], [-0.6474889516830444], [-1.033240556716919], [0.6330724954605103]]
[[1.1374926567077637], [-0.5099514722824097], [-1.3009470701217651], [0.5922011137008667]]
[[1.2334702014923096], [-0.5273876786231995], [-1.3853670358657837], [0.5718814730644226]]
[[0.8096576929092407], [-0.5929544568061829], [-0.9391482472419739], [0.6735032200813293]]
[[0.9637532830238342], [-0.49323272705078125], [-0.9370126724243164], [0.4784909188747406]]
[[0.933878481388092], [-0.5496271252632141], [-0.9347895979881287], [0.4596455693244934]]
[[0.9981627464294434], [-0.5077328681945801], [-1.014638066291809], [0.46730074286460876]]
[[1.027055025100708], [-0.4713897109031677], [-0.9912781715393066], [0.4899141788482666]]
[[0.9967683553695679], [-0.49827221035957336], [-0.9949217438697815], [0.47065767645835876]]
[[0.9985887408256531], [-0.493995726108551], [-1.0038241147994995], [0.4675390124320984]]
[[0.997836709022522], [-0.49478450417518616], [-1.0179744958877563], [0.4595990478992462]]
[[0.9993019700050354], [-0.4937293231487274], [-1.0206876993179321], [0.4586896300315857]]
[[1.0076216459274292], [-0.4897269308567047], [-1.0181303024291992], [0.4635995328426361]]
[[1.0066128969192505], [-0.4907761514186859], [-1.0206043720245361], [0.4619158208370209]]
[[1.0043562650680542], [-0.49313294887542725], [-1.0215859413146973], [0.4603765308856964]]
[[1.003984808921814], [-0.49373671412467957], [-1.022284984588623], [0.4597083628177643]]
[[1.0038480758666992], [-0.49393370747566223], [-1.0227994918823242], [0.45934751629829407]]
[[1.0040127038955688], [-0.49372053146362305], [-1.022502064704895], [0.4597122371196747]]
[[1.0041496753692627], [-0.4935181736946106], [-1.0225378274917603], [0.4598919153213501]]
[[1.0041496753692627], [-0.49344128370285034], [-1.0225378274917603], [0.45999449491500854]]
[[1.0041496753692627], [-0.49347516894340515], [-1.0225378274917603], [0.4599689543247223]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
[[1.0041496753692627], [-0.49347537755966187], [-1.0225378274917603], [0.4599629044532776]]
