[[-0.6790988445281982], [0.9381368160247803], [-0.18271034955978394], [0.792793869972229]]
[[-0.45286479592323303], [0.3456747233867645], [-0.6609395742416382], [0.31587764620780945]]
[[-0.20400264859199524], [0.36759042739868164], [-0.7181635499000549], [0.2829354703426361]]
[[-0.19472894072532654], [0.33846691250801086], [-0.7401960492134094], [0.2713661789894104]]
[[-0.19464392960071564], [0.33238381147384644], [-0.7472373843193054], [0.2656477391719818]]
[[-0.1934790313243866], [0.3324767053127289], [-0.7472453713417053], [0.26561906933784485]]
[[-0.19319495558738708], [0.33258703351020813], [-0.7470741868019104], [0.26578566431999207]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
[[-0.19313879311084747], [0.3326072692871094], [-0.7470741868019104], [0.26581278443336487]]
