[[0.8990732431411743], [-0.13120436668395996], [0.18384385108947754], [0.22677993774414062]]
[[0.8352511525154114], [-0.19549281895160675], [0.11402778327465057], [0.16224023699760437]]
[[0.8268144130706787], [-0.204149067401886], [0.10513613373041153], [0.15410934388637543]]
[[0.8262655735015869], [-0.2047395259141922], [0.10450173169374466], [0.15348094701766968]]
[[0.8262167572975159], [-0.2047843486070633], [0.10444863885641098], [0.153436541557312]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
[[0.826213538646698], [-0.20478712022304535], [0.10444492101669312], [0.15343350172042847]]
