[[-0.6514631509780884], [-0.3842793107032776], [0.4171818494796753], [-0.2765790820121765]]
[[0.27073177695274353], [-0.08256939798593521], [-0.21594037115573883], [-0.025104375556111336]]
[[0.5604714155197144], [-0.16297906637191772], [-0.5813599228858948], [0.10512509942054749]]
[[0.4946861267089844], [-0.24289470911026], [-0.5800336599349976], [0.31103333830833435]]
[[0.6298991441726685], [-0.2469753623008728], [-0.6503580212593079], [0.28756552934646606]]
[[0.6755658984184265], [-0.24900631606578827], [-0.7006707191467285], [0.30341994762420654]]
[[0.6668726205825806], [-0.284350723028183], [-0.7180135846138], [0.3149975836277008]]
[[0.675832986831665], [-0.2884470224380493], [-0.7302820682525635], [0.31218281388282776]]
[[0.6800480484962463], [-0.2926921546459198], [-0.7312985062599182], [0.3152713477611542]]
[[0.6976290941238403], [-0.28271153569221497], [-0.7221053838729858], [0.33000367879867554]]
[[0.6963046193122864], [-0.28488463163375854], [-0.7238335013389587], [0.3279752731323242]]
[[0.6957323551177979], [-0.2860736548900604], [-0.7248310446739197], [0.32686948776245117]]
[[0.6970124244689941], [-0.285317987203598], [-0.7239426970481873], [0.32772642374038696]]
[[0.6973271369934082], [-0.28557443618774414], [-0.7246333360671997], [0.3271726667881012]]
[[0.6964428424835205], [-0.28690117597579956], [-0.7255392074584961], [0.3262042701244354]]
[[0.6965735554695129], [-0.286773145198822], [-0.7254329919815063], [0.32636573910713196]]
[[0.6967034339904785], [-0.28668898344039917], [-0.7253341674804688], [0.3264513611793518]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
[[0.6966294646263123], [-0.28675946593284607], [-0.7254164218902588], [0.3264514207839966]]
