[[-0.790115475654602], [0.4331533908843994], [-0.25882941484451294], [0.4373283386230469]]
[[-0.7924433946609497], [0.4285229742527008], [-0.26356571912765503], [0.4322108328342438]]
[[-0.7955741286277771], [0.42439237236976624], [-0.2674182057380676], [0.42819952964782715]]
[[-0.7963051199913025], [0.4225885272026062], [-0.2693343460559845], [0.42657315731048584]]
[[-0.7965946197509766], [0.4216156005859375], [-0.27030038833618164], [0.42566490173339844]]
[[-0.7969199419021606], [0.42067813873291016], [-0.2712794244289398], [0.42476239800453186]]
[[-0.7969872355461121], [0.42052245140075684], [-0.27144548296928406], [0.4245963990688324]]
[[-0.7970368266105652], [0.4204116463661194], [-0.27156761288642883], [0.4244793951511383]]
[[-0.7970678210258484], [0.42033830285072327], [-0.27165237069129944], [0.4244050979614258]]
[[-0.7971230149269104], [0.4202535152435303], [-0.2717461884021759], [0.4243123233318329]]
[[-0.7971296906471252], [0.4202384352684021], [-0.2717682719230652], [0.42429253458976746]]
[[-0.7971370816230774], [0.4202282726764679], [-0.2717798054218292], [0.4242797791957855]]
[[-0.7971389889717102], [0.42022401094436646], [-0.271785169839859], [0.42427465319633484]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
[[-0.7971409559249878], [0.42021945118904114], [-0.2717902958393097], [0.42427003383636475]]
