[[-0.06644487380981445], [0.4392991065979004], [1.021127700805664], [0.9009007215499878]]
[[0.0718282014131546], [-0.18023072183132172], [-0.22500672936439514], [0.370797336101532]]
[[0.35519856214523315], [-0.23860551416873932], [-0.5309941172599792], [0.24983887374401093]]
[[0.5169062614440918], [-0.21675990521907806], [-0.6509413123130798], [0.2473352998495102]]
[[0.5408914685249329], [-0.2260802984237671], [-0.6811143159866333], [0.2426498979330063]]
[[0.5544376969337463], [-0.22373870015144348], [-0.6777981519699097], [0.2522963881492615]]
[[0.5574269890785217], [-0.22434622049331665], [-0.6776680946350098], [0.2538464367389679]]
[[0.5587436556816101], [-0.22461609542369843], [-0.678708553314209], [0.25369665026664734]]
[[0.5584387183189392], [-0.22526788711547852], [-0.6793872714042664], [0.25328493118286133]]
[[0.5588691234588623], [-0.22495496273040771], [-0.6791037321090698], [0.25365838408470154]]
[[0.5589606165885925], [-0.2248840481042862], [-0.6790937781333923], [0.2537093460559845]]
[[0.5589919090270996], [-0.22487401962280273], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
[[0.5589919090270996], [-0.22486001253128052], [-0.6790695786476135], [0.25372132658958435]]
