[[-0.5069827437400818], [0.7995953559875488], [-0.08152925968170166], [0.6021623611450195]]
[[0.7247598767280579], [-0.2668886184692383], [-0.6927899122238159], [0.3280961811542511]]
[[0.8469973206520081], [-0.5053653717041016], [-0.6037483215332031], [0.3216148614883423]]
[[1.0731297731399536], [-0.6964654326438904], [-1.1371561288833618], [0.6835161447525024]]
[[0.9666240215301514], [-0.6036463975906372], [-1.1527403593063354], [0.7226866483688354]]
[[0.934952437877655], [-0.5530691146850586], [-0.9995183944702148], [0.6013476252555847]]
[[1.058720350265503], [-0.568981945514679], [-1.0263787508010864], [0.55741286277771]]
[[1.0945950746536255], [-0.6002475023269653], [-1.205021619796753], [0.6881638765335083]]
[[1.0607404708862305], [-0.6032325625419617], [-1.0758777856826782], [0.5978083610534668]]
[[1.1706563234329224], [-0.6846792697906494], [-1.2951172590255737], [0.7055666446685791]]
[[1.126460313796997], [-0.6785663962364197], [-1.194197654724121], [0.7153471112251282]]
[[1.0140516757965088], [-0.645903468132019], [-1.0662487745285034], [0.6899698972702026]]
[[1.1347172260284424], [-0.6528998017311096], [-1.1596970558166504], [0.6968767642974854]]
[[1.189420223236084], [-0.5686467885971069], [-1.217692494392395], [0.6353999376296997]]
[[1.096343994140625], [-0.5917404294013977], [-1.1101192235946655], [0.6193550229072571]]
[[1.0520039796829224], [-0.6124945282936096], [-1.0779013633728027], [0.6261688470840454]]
[[1.0254426002502441], [-0.6085236072540283], [-1.0463147163391113], [0.6261582970619202]]
[[1.072266936302185], [-0.5566203594207764], [-1.0390781164169312], [0.6101136803627014]]
[[1.0391805171966553], [-0.5707715153694153], [-1.0264757871627808], [0.5877848267555237]]
[[1.057910442352295], [-0.5674992203712463], [-1.0507069826126099], [0.5739641189575195]]
[[1.0722289085388184], [-0.5483092665672302], [-1.0375069379806519], [0.5806401968002319]]
[[1.0341401100158691], [-0.5753735303878784], [-1.0381808280944824], [0.5729891061782837]]
[[1.0255062580108643], [-0.583423376083374], [-1.0529284477233887], [0.5545579195022583]]
[[1.0366102457046509], [-0.5708464980125427], [-1.0409748554229736], [0.5670927166938782]]
[[1.03474760055542], [-0.5732731819152832], [-1.0441358089447021], [0.566615104675293]]
[[1.0374836921691895], [-0.5752955079078674], [-1.0560948848724365], [0.5581813454627991]]
[[1.035632848739624], [-0.5784303545951843], [-1.0530914068222046], [0.5608684420585632]]
[[1.039028286933899], [-0.5751046538352966], [-1.0506222248077393], [0.5641106963157654]]
[[1.0384340286254883], [-0.5755288004875183], [-1.050575852394104], [0.5647168755531311]]
[[1.0375055074691772], [-0.5765849351882935], [-1.0523607730865479], [0.5630672574043274]]
[[1.0395159721374512], [-0.5746062994003296], [-1.0516724586486816], [0.5642590522766113]]
[[1.039339542388916], [-0.5747023224830627], [-1.0516307353973389], [0.5644891858100891]]
[[1.0408538579940796], [-0.5735365748405457], [-1.0503684282302856], [0.566066324710846]]
[[1.0402275323867798], [-0.5740818977355957], [-1.0506367683410645], [0.5659711360931396]]
[[1.0397695302963257], [-0.5745633840560913], [-1.051056981086731], [0.5655400156974792]]
[[1.0396395921707153], [-0.5746579766273499], [-1.05106520652771], [0.56559157371521]]
[[1.0395513772964478], [-0.574735164642334], [-1.0510843992233276], [0.5655934810638428]]
