[[-0.020534634590148926], [-0.667682409286499], [0.5206257104873657], [-0.19207006692886353]]
[[0.7978231906890869], [-0.030119866132736206], [-0.6066960096359253], [-0.1819770634174347]]
[[0.694049596786499], [-0.15219315886497498], [-0.9238340854644775], [0.3209814429283142]]
[[0.7784923911094666], [-0.4083574116230011], [-0.9945548176765442], [0.550885796546936]]
[[0.9169763922691345], [-0.2770317494869232], [-0.8592239022254944], [0.27622926235198975]]
[[0.9450929164886475], [-0.545650064945221], [-0.8262813687324524], [0.4099253714084625]]
[[0.9334791898727417], [-0.4805881083011627], [-1.0296074151992798], [0.38933709263801575]]
[[1.0553842782974243], [-0.5229781866073608], [-1.247639536857605], [0.622834324836731]]
[[0.8184323906898499], [-0.5234867334365845], [-0.9042645692825317], [0.5778812170028687]]
[[0.9587528109550476], [-0.5406813025474548], [-0.9974872469902039], [0.5692029595375061]]
[[1.0097218751907349], [-0.4673667848110199], [-1.016535997390747], [0.4715108573436737]]
[[0.9762479066848755], [-0.5611664652824402], [-0.9607644081115723], [0.4950352609157562]]
[[0.9502322673797607], [-0.5109377503395081], [-0.9902847409248352], [0.5266913771629333]]
[[1.171642541885376], [-0.560406506061554], [-1.0457713603973389], [0.5140032768249512]]
[[1.061934471130371], [-0.5617576241493225], [-0.9038761854171753], [0.49031057953834534]]
[[0.8604077696800232], [-0.6197171211242676], [-0.7718821167945862], [0.5671643614768982]]
[[1.1011617183685303], [-0.5320009589195251], [-1.014025092124939], [0.5195801854133606]]
[[0.8528919219970703], [-0.6094624996185303], [-0.7946690917015076], [0.5407649278640747]]
[[0.9848125576972961], [-0.5493335127830505], [-0.9433254599571228], [0.4806566536426544]]
[[1.0151183605194092], [-0.4648711681365967], [-0.9970372319221497], [0.4109416902065277]]
[[1.024205207824707], [-0.48570847511291504], [-1.0466493368148804], [0.4197499454021454]]
[[1.0770410299301147], [-0.4577239751815796], [-1.0566494464874268], [0.451063334941864]]
[[1.0259623527526855], [-0.49432313442230225], [-0.9617175459861755], [0.4701063632965088]]
[[1.0118770599365234], [-0.4893267750740051], [-0.9333170056343079], [0.447543740272522]]
[[0.9794764518737793], [-0.5208063721656799], [-0.9046480059623718], [0.44253212213516235]]
[[0.9908252358436584], [-0.4905458092689514], [-0.9894923567771912], [0.4304853677749634]]
[[0.9982350468635559], [-0.4797106087207794], [-0.980095624923706], [0.45236459374427795]]
[[1.0042442083358765], [-0.4838767945766449], [-0.977267324924469], [0.47357311844825745]]
[[0.987637996673584], [-0.49517592787742615], [-0.9387011528015137], [0.485066294670105]]
[[0.9475283026695251], [-0.51125168800354], [-0.8990498781204224], [0.4998350143432617]]
[[0.9355797171592712], [-0.5258449912071228], [-0.9114516377449036], [0.4967293441295624]]
[[0.9360018968582153], [-0.5285546183586121], [-0.9248226284980774], [0.4997391104698181]]
[[0.9466422200202942], [-0.5206034779548645], [-0.9431486129760742], [0.5035925507545471]]
[[0.9737274646759033], [-0.5092157125473022], [-0.9541292786598206], [0.514695405960083]]
[[0.9775315523147583], [-0.5181519985198975], [-0.9584611058235168], [0.5094349980354309]]
[[0.9625788927078247], [-0.5311501026153564], [-0.9504936337471008], [0.5128973722457886]]
[[0.9799312353134155], [-0.5272100567817688], [-0.970613956451416], [0.5050451159477234]]
[[0.9850395917892456], [-0.5271382331848145], [-0.9776036739349365], [0.5078620910644531]]
[[0.9816955924034119], [-0.5264340043067932], [-0.9869363307952881], [0.5022955536842346]]
[[0.9892516732215881], [-0.5169147253036499], [-0.9786636233329773], [0.511492908000946]]
[[0.994481086730957], [-0.5155891180038452], [-0.9789446592330933], [0.5126332640647888]]
