[[-0.9697763919830322], [0.8798620700836182], [-0.5022907257080078], [0.8546422719955444]]
[[-1.1410455703735352], [0.6330496072769165], [-0.7387632131576538], [0.6151862144470215]]
[[-1.1405168771743774], [0.6088671088218689], [-0.7485989332199097], [0.5924323201179504]]
[[-1.1362578868865967], [0.6082969307899475], [-0.7483668327331543], [0.5913538932800293]]
[[-1.1357837915420532], [0.6080114841461182], [-0.7483150959014893], [0.5909690856933594]]
[[-1.1357614994049072], [0.6079098582267761], [-0.7483769655227661], [0.5908641815185547]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
[[-1.1357505321502686], [0.6078981161117554], [-0.7483804821968079], [0.5908498764038086]]
