[[0.9761338233947754], [0.8995922803878784], [0.75835120677948], [-0.007309436798095703]]
[[0.9627816081047058], [0.8862400650978088], [0.7449989914894104], [-0.02065950818359852]]
[[0.9521030187606812], [0.8755614757537842], [0.7343204021453857], [-0.03133958578109741]]
[[0.9435569643974304], [0.8670154213905334], [0.725774347782135], [-0.039883650839328766]]
[[0.9367296695709229], [0.8601881265640259], [0.7189470529556274], [-0.04671890288591385]]
[[0.9268786311149597], [0.8503370881080627], [0.7090960144996643], [-0.05656198412179947]]
[[0.9233774542808533], [0.8468359112739563], [0.7055948376655579], [-0.060061171650886536]]
[[0.9206499457359314], [0.8441084027290344], [0.702867329120636], [-0.06278760731220245]]
[[0.9185909032821655], [0.8420493602752686], [0.7008082866668701], [-0.06484299898147583]]
[[0.9153602719306946], [0.8388187289237976], [0.6975776553153992], [-0.06806965172290802]]
[[0.91407710313797], [0.837535560131073], [0.6962944865226746], [-0.06935282051563263]]
[[0.9131436944007874], [0.8366021513938904], [0.6953610777854919], [-0.07028019428253174]]
[[0.9123759865760803], [0.8358344435691833], [0.6945933699607849], [-0.07104998826980591]]
[[0.9113273620605469], [0.8347858190536499], [0.6935447454452515], [-0.07208872586488724]]
[[0.9109511375427246], [0.8344095945358276], [0.6931685209274292], [-0.07245907187461853]]
[[0.910648763179779], [0.8341072201728821], [0.6928661465644836], [-0.07275945693254471]]
[[0.9104100465774536], [0.8338685035705566], [0.6926274299621582], [-0.07300016283988953]]
[[0.910057783126831], [0.8335162401199341], [0.6922751665115356], [-0.07334847003221512]]
[[0.9099318981170654], [0.8333903551101685], [0.69214928150177], [-0.07347042113542557]]
[[0.9098364114761353], [0.8332948684692383], [0.6920537948608398], [-0.0735698863863945]]
[[0.9097568392753601], [0.8332152962684631], [0.6919742226600647], [-0.07364945858716965]]
[[0.9096445441246033], [0.8331030011177063], [0.6918619275093079], [-0.07376381009817123]]
[[0.9095994830131531], [0.8330579400062561], [0.6918168663978577], [-0.07380136102437973]]
[[0.909566342830658], [0.833024799823761], [0.6917839646339417], [-0.07383450120687485]]
[[0.9095345139503479], [0.8329929709434509], [0.6917521357536316], [-0.07386036217212677]]
[[0.9095031023025513], [0.8329615592956543], [0.691720724105835], [-0.0738956481218338]]
[[0.9094871878623962], [0.8329456448554993], [0.6917048096656799], [-0.07390957325696945]]
[[0.9094712734222412], [0.8329297304153442], [0.6916888952255249], [-0.07391951978206635]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07392726838588715]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07393898069858551]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07394295930862427]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07394693791866302]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07394901663064957]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395292818546295]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395491749048233]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395690679550171]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395690679550171]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395690679550171]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395690679550171]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395690679550171]]
[[0.9094557762145996], [0.8329142332077026], [0.6916733980178833], [-0.07395690679550171]]
