[[0.23873567581176758], [-0.7295989990234375], [-0.4424856901168823], [-0.3591034412384033]]
[[0.25042790174484253], [-0.7179057598114014], [-0.4307924509048462], [-0.3474102020263672]]
[[0.25936606526374817], [-0.7089247703552246], [-0.4219030737876892], [-0.33847302198410034]]
[[0.26482897996902466], [-0.7034602761268616], [-0.4164733588695526], [-0.33301594853401184]]
[[0.26802900433540344], [-0.7002550959587097], [-0.41338813304901123], [-0.3298381567001343]]
[[0.2699015736579895], [-0.6983789801597595], [-0.41151005029678345], [-0.3279600739479065]]
[[0.27094924449920654], [-0.6973409056663513], [-0.4104749858379364], [-0.3269191086292267]]
[[0.27159303426742554], [-0.6966891884803772], [-0.4098307192325592], [-0.32626885175704956]]
[[0.2719832956790924], [-0.696300208568573], [-0.4094395637512207], [-0.325875848531723]]
[[0.2722266614437103], [-0.6960588693618774], [-0.409201055765152], [-0.3256324827671051]]
[[0.27235791087150574], [-0.6959290504455566], [-0.40906885266304016], [-0.32550057768821716]]
[[0.27243998646736145], [-0.6958465576171875], [-0.40898653864860535], [-0.32541826367378235]]
[[0.27248746156692505], [-0.6957990527153015], [-0.4089397192001343], [-0.3253710865974426]]
[[0.27251318097114563], [-0.6957712173461914], [-0.4089139997959137], [-0.32534536719322205]]
[[0.2725279629230499], [-0.6957525014877319], [-0.408899188041687], [-0.3253304362297058]]
[[0.2725379168987274], [-0.6957443952560425], [-0.40888938307762146], [-0.32532045245170593]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
[[0.2725461423397064], [-0.6957443952560425], [-0.4088812470436096], [-0.32531222701072693]]
