[[1.0882551670074463], [0.5416654348373413], [-0.3111230731010437], [-1.0640650987625122]]
[[1.0827170610427856], [0.5354687571525574], [-0.3173092305660248], [-1.0615062713623047]]
[[1.0825302600860596], [0.5356737971305847], [-0.31748926639556885], [-1.0597972869873047]]
[[1.0824247598648071], [0.5355678200721741], [-0.31774571537971497], [-1.0595513582229614]]
[[1.082382321357727], [0.5355288982391357], [-0.3177761137485504], [-1.0595492124557495]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
[[1.0823674201965332], [0.5355166792869568], [-0.31778523325920105], [-1.0595496892929077]]
