[[1.0], [1.0], [1.0], [1.0]]
[[1.191893458366394], [-0.6681223511695862], [-0.9809287786483765], [0.45532771944999695]]
[[1.171789288520813], [-0.6364733576774597], [-1.045680284500122], [0.5424704551696777]]
[[1.1680829524993896], [-0.6406620740890503], [-1.0560637712478638], [0.537516176700592]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
[[1.1676832437515259], [-0.6408742070198059], [-1.0560466051101685], [0.5375530123710632]]
