[[1.0], [1.0], [1.0], [1.0]]
[[0.41183891892433167], [0.02601831592619419], [-0.5306695103645325], [-0.01618332974612713]]
[[0.535906970500946], [-0.0015516236890107393], [-0.6451349854469299], [0.06764589250087738]]
[[0.5638740658760071], [-0.0026835075113922358], [-0.6461327075958252], [0.08482573926448822]]
[[0.5667830109596252], [-0.0016650727484375238], [-0.6440544128417969], [0.08753664046525955]]
[[0.5673130750656128], [-0.00248914142139256], [-0.6460053324699402], [0.0867520347237587]]
[[0.5676535964012146], [-0.0023157799150794744], [-0.645885169506073], [0.0870470404624939]]
[[0.5676749348640442], [-0.0023476053029298782], [-0.6459402441978455], [0.08700984716415405]]
[[0.5676749348640442], [-0.00234743719920516], [-0.6459402441978455], [0.08701229840517044]]
[[0.5676749348640442], [-0.0023489934392273426], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491482716053724], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
[[0.5676749348640442], [-0.0023491845931857824], [-0.6459402441978455], [0.08701124042272568]]
