[[1.0], [1.0], [1.0], [1.0]]
[[0.8973605036735535], [0.8973605036735535], [0.8973605036735535], [0.8973605036735535]]
[[0.848890483379364], [0.848890483379364], [0.848890483379364], [0.848890483379364]]
[[0.8331734538078308], [0.8331734538078308], [0.8331734538078308], [0.8331734538078308]]
[[0.8278689384460449], [0.8278689384460449], [0.8278689384460449], [0.8278689384460449]]
[[0.826152503490448], [0.826152503490448], [0.826152503490448], [0.826152503490448]]
[[0.8256043791770935], [0.8256043791770935], [0.8256043791770935], [0.8256043791770935]]
[[0.8254210352897644], [0.8254210352897644], [0.8254210352897644], [0.8254210352897644]]
[[0.8253614902496338], [0.8253614902496338], [0.8253614902496338], [0.8253614902496338]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
[[0.8253399729728699], [0.8253399729728699], [0.8253399729728699], [0.8253399729728699]]
