[[1.0], [1.0], [1.0], [1.0]]
[[0.3399577736854553], [0.3343745768070221], [0.3343745768070221], [0.3343745768070221]]
[[0.29928454756736755], [0.29333990812301636], [0.29333990812301636], [0.29333990812301636]]
[[0.297946572303772], [0.2919940650463104], [0.2919864356517792], [0.29199057817459106]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
[[0.29790404438972473], [0.29195186495780945], [0.2919444739818573], [0.29194846749305725]]
