[[1.0], [1.0], [1.0], [1.0]]
[[0.4050624370574951], [-0.09849788248538971], [-0.378028929233551], [0.003101309295743704]]
[[0.43396273255348206], [-0.08809295296669006], [-0.4023479223251343], [0.024392753839492798]]
[[0.4373699724674225], [-0.08730413019657135], [-0.4014190435409546], [0.029998404905200005]]
[[0.4381904602050781], [-0.08668055385351181], [-0.4005669355392456], [0.031112011522054672]]
[[0.4382205307483673], [-0.08666657656431198], [-0.4005531370639801], [0.03115067258477211]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154731288552284]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
[[0.43822574615478516], [-0.08666353672742844], [-0.40054938197135925], [0.031154971569776535]]
