[[1.0], [1.0], [1.0], [1.0]]
[[0.4879913330078125], [0.4879913330078125], [0.4879913330078125], [0.4879913330078125]]
[[0.30282801389694214], [0.30272912979125977], [0.3022630214691162], [0.3032279908657074]]
[[0.22663100063800812], [0.2244865596294403], [0.22358541190624237], [0.22528058290481567]]
[[0.2140018790960312], [0.2112848311662674], [0.21021988987922668], [0.21206483244895935]]
[[0.20856699347496033], [0.2057049572467804], [0.20442603528499603], [0.20650091767311096]]
[[0.20762299001216888], [0.20474183559417725], [0.20343829691410065], [0.20554828643798828]]
[[0.20724952220916748], [0.20432567596435547], [0.20298990607261658], [0.2051275670528412]]
[[0.2071806639432907], [0.2042536437511444], [0.20291529595851898], [0.20505595207214355]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
[[0.20714887976646423], [0.20422083139419556], [0.20288163423538208], [0.2050231546163559]]
