[[1.0], [1.0], [1.0], [1.0]]
[[0.7648393511772156], [-0.3077329993247986], [-0.907024085521698], [0.4519105553627014]]
[[0.8981772661209106], [-0.4523829221725464], [-0.894291341304779], [0.42607951164245605]]
[[0.9148189425468445], [-0.4510939419269562], [-0.8885500431060791], [0.43297645449638367]]
[[0.9147215485572815], [-0.4521472752094269], [-0.8876739144325256], [0.43320727348327637]]
[[0.9146435856819153], [-0.4521797001361847], [-0.8876008987426758], [0.4333457052707672]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
[[0.9146435856819153], [-0.45218104124069214], [-0.8876008987426758], [0.4333439767360687]]
