[[1.0], [1.0], [1.0], [1.0]]
[[1.1590023040771484], [-0.5528004169464111], [-1.1317030191421509], [0.6342952251434326]]
[[1.1342231035232544], [-0.6290425658226013], [-0.9440263509750366], [0.4862934648990631]]
[[1.1690142154693604], [-0.6192923784255981], [-0.990870475769043], [0.499837189912796]]
[[1.164676547050476], [-0.6205020546913147], [-1.001701831817627], [0.48847877979278564]]
[[1.1638109683990479], [-0.6214274168014526], [-1.0026429891586304], [0.4876595735549927]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
[[1.1638579368591309], [-0.6213980913162231], [-1.0026434659957886], [0.48763516545295715]]
