[[1.0], [1.0], [1.0], [1.0]]
[[1.0784201622009277], [-0.5106652975082397], [-1.030157446861267], [0.604748547077179]]
[[1.0079365968704224], [-0.5480955839157104], [-1.1619516611099243], [0.7208810448646545]]
[[1.091840386390686], [-0.5126561522483826], [-1.205594778060913], [0.5917263031005859]]
[[1.0679851770401], [-0.5133653283119202], [-1.155544400215149], [0.6210972666740417]]
[[1.0519155263900757], [-0.5298193693161011], [-1.1595184803009033], [0.6053335666656494]]
[[1.0517984628677368], [-0.5297290086746216], [-1.1580815315246582], [0.6051663160324097]]
[[1.0528908967971802], [-0.5288651585578918], [-1.156636357307434], [0.6060101985931396]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
[[1.0528908967971802], [-0.528903603553772], [-1.156636357307434], [0.6059613823890686]]
