[[1.0], [1.0], [1.0], [1.0]]
[[0.869987964630127], [0.869987964630127], [0.869987964630127], [0.869987964630127]]
[[0.8612534999847412], [0.8612534999847412], [0.8612534999847412], [0.8612534999847412]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
[[0.860997200012207], [0.860997200012207], [0.860997200012207], [0.860997200012207]]
