[[1.0], [1.0], [1.0], [1.0]]
[[0.9895637631416321], [0.9895637631416321], [0.9895637631416321], [0.9895637631416321]]
[[0.9849492907524109], [0.9849492907524109], [0.9849492907524109], [0.9849492907524109]]
[[0.9833916425704956], [0.9833916425704956], [0.9833916425704956], [0.9833916425704956]]
[[0.9828530550003052], [0.9828530550003052], [0.9828530550003052], [0.9828530550003052]]
[[0.9826887249946594], [0.9826887249946594], [0.9826887249946594], [0.9826887249946594]]
[[0.9826263785362244], [0.9826263785362244], [0.9826263785362244], [0.9826263785362244]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
[[0.9826056957244873], [0.9826056957244873], [0.9826056957244873], [0.9826056957244873]]
