[[1.0], [1.0], [1.0], [1.0]]
[[0.8121482729911804], [-0.5386432409286499], [-0.8269177079200745], [0.5832651257514954]]
[[1.068050503730774], [-0.5119204521179199], [-0.9611137509346008], [0.5781583189964294]]
[[1.0523179769515991], [-0.5667305588722229], [-1.0639383792877197], [0.522429883480072]]
[[1.0865671634674072], [-0.537433385848999], [-1.0374566316604614], [0.5420170426368713]]
[[1.0806465148925781], [-0.544399619102478], [-1.0430207252502441], [0.5348601937294006]]
[[1.080735206604004], [-0.544471025466919], [-1.0433515310287476], [0.5345783829689026]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
[[1.0806207656860352], [-0.5445568561553955], [-1.0434668064117432], [0.5345298051834106]]
