[[1.0], [1.0], [1.0], [1.0]]
[[0.5079904794692993], [0.5079904794692993], [0.5079904794692993], [0.5079904794692993]]
[[0.2686101794242859], [0.2663748562335968], [0.2658200263977051], [0.26628378033638]]
[[0.2012728750705719], [0.19640742242336273], [0.19300511479377747], [0.19650863111019135]]
[[0.182430699467659], [0.17539401352405548], [0.17052970826625824], [0.17567379772663116]]
[[0.17563171684741974], [0.1681932657957077], [0.1627805531024933], [0.16861920058727264]]
[[0.17359106242656708], [0.16602766513824463], [0.16044774651527405], [0.16646552085876465]]
[[0.17304494976997375], [0.16540372371673584], [0.1597697138786316], [0.16583043336868286]]
[[0.1728147268295288], [0.16515564918518066], [0.15950217843055725], [0.1655878722667694]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
[[0.17277969419956207], [0.16511742770671844], [0.1594604104757309], [0.16554921865463257]]
