[[1.0], [1.0], [1.0], [1.0]]
[[1.036319613456726], [-0.46038755774497986], [-1.048288345336914], [0.45552605390548706]]
[[0.9375471472740173], [-0.7523889541625977], [-0.8280574083328247], [0.5878831744194031]]
[[1.0476043224334717], [-0.6734877228736877], [-0.9255431890487671], [0.5757073760032654]]
[[1.03864324092865], [-0.6804394125938416], [-0.9608645439147949], [0.5521000623703003]]
[[1.0474079847335815], [-0.6727830767631531], [-0.9589571356773376], [0.5546762347221375]]
[[1.0471340417861938], [-0.6729594469070435], [-0.9601554274559021], [0.5537614822387695]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
[[1.0471073389053345], [-0.6729578375816345], [-0.9603185653686523], [0.5536459684371948]]
