[[1.0], [1.0], [1.0], [1.0]]
[[0.6109532713890076], [-0.20426276326179504], [-0.6991929411888123], [0.43915948271751404]]
[[0.9151134490966797], [-0.18473803997039795], [-1.0266907215118408], [0.42431581020355225]]
[[0.9486414790153503], [-0.22958418726921082], [-1.059900164604187], [0.4449103772640228]]
[[0.909323513507843], [-0.2660708725452423], [-1.0756521224975586], [0.4127561151981354]]
[[0.9095609188079834], [-0.26283201575279236], [-1.0632559061050415], [0.4224972426891327]]
[[0.9083531498908997], [-0.2642134130001068], [-1.0640006065368652], [0.42193710803985596]]
[[0.9080284833908081], [-0.2644573152065277], [-1.0638352632522583], [0.4219455420970917]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
[[0.9080284833908081], [-0.26446810364723206], [-1.0638352632522583], [0.4219781458377838]]
