[[-0.3610376715660095], [-0.3352004885673523], [-0.15080499649047852], [-0.9271328449249268]]
[[0.19843660295009613], [0.15339767932891846], [0.23634974658489227], [-0.45851218700408936]]
[[0.2088414877653122], [0.14621885120868683], [0.22408585250377655], [-0.45646750926971436]]
[[0.21083906292915344], [0.1474279761314392], [0.22183367609977722], [-0.45460784435272217]]
[[0.21056772768497467], [0.14718268811702728], [0.22076961398124695], [-0.4550674259662628]]
[[0.21060386300086975], [0.1471855193376541], [0.2206115573644638], [-0.4551132917404175]]
[[0.2106015831232071], [0.14718221127986908], [0.22059252858161926], [-0.455121248960495]]
[[0.21060067415237427], [0.14718006551265717], [0.22058755159378052], [-0.45512181520462036]]
[[0.21060067415237427], [0.14718006551265717], [0.22058755159378052], [-0.45512181520462036]]
[[0.21060067415237427], [0.14718006551265717], [0.22058755159378052], [-0.45512181520462036]]
[[0.21060067415237427], [0.14718006551265717], [0.22058755159378052], [-0.45512181520462036]]
