[[-0.6854550242424011], [0.07781565189361572], [0.7628639936447144], [0.36991214752197266]]
[[0.6057214140892029], [-0.2956019937992096], [-0.8485986590385437], [0.4367869794368744]]
[[1.1260912418365479], [-0.4218100607395172], [-0.9589304327964783], [0.33041006326675415]]
[[1.0763565301895142], [-0.34080925583839417], [-0.9041353464126587], [0.1787567287683487]]
[[1.1645231246948242], [-0.6071533560752869], [-1.059687614440918], [0.4386713206768036]]
[[1.1329057216644287], [-0.5526535511016846], [-1.0931745767593384], [0.5030977129936218]]
[[1.080245852470398], [-0.5583265423774719], [-1.0557771921157837], [0.5296456217765808]]
[[1.0550025701522827], [-0.5599557161331177], [-1.0425655841827393], [0.5567132234573364]]
[[1.0812617540359497], [-0.5581157207489014], [-1.0830636024475098], [0.5437235236167908]]
[[1.0772662162780762], [-0.5666607618331909], [-1.0928934812545776], [0.5418079495429993]]
[[1.0828849077224731], [-0.5620795488357544], [-1.0920164585113525], [0.5401726365089417]]
[[1.0862575769424438], [-0.5572354793548584], [-1.0872979164123535], [0.5451630353927612]]
[[1.0861680507659912], [-0.5566844344139099], [-1.0861577987670898], [0.5460497736930847]]
[[1.082802414894104], [-0.5587849617004395], [-1.0894759893417358], [0.541644275188446]]
[[1.0832819938659668], [-0.5581673979759216], [-1.0886337757110596], [0.5424438714981079]]
[[1.0835720300674438], [-0.5577760934829712], [-1.0881414413452148], [0.5428752899169922]]
[[1.08368718624115], [-0.5575803518295288], [-1.0879453420639038], [0.5430804491043091]]
[[1.083749771118164], [-0.5574408173561096], [-1.08796226978302], [0.5432009696960449]]
[[1.083749771118164], [-0.5574777126312256], [-1.08796226978302], [0.5432463884353638]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
[[1.083749771118164], [-0.5574367046356201], [-1.08796226978302], [0.5432926416397095]]
