[[-0.351249098777771], [-0.04849827289581299], [-0.2402084469795227], [-0.011309623718261719]]
[[-0.1404188722372055], [0.04315226897597313], [-0.2221628576517105], [0.08369451016187668]]
[[-0.01726197637617588], [0.08881108462810516], [-0.23240496218204498], [0.1386525183916092]]
[[0.016733646392822266], [0.08348041772842407], [-0.2801591157913208], [0.13189998269081116]]
[[0.03713535517454147], [0.07600893080234528], [-0.3022114932537079], [0.13155053555965424]]
[[0.04148038104176521], [0.06991861760616302], [-0.31888243556022644], [0.1247061938047409]]
[[0.049722980707883835], [0.06889252364635468], [-0.3248592019081116], [0.12580794095993042]]
[[0.05415117368102074], [0.06772555410861969], [-0.33054956793785095], [0.1244167909026146]]
[[0.057581596076488495], [0.06835383176803589], [-0.33159831166267395], [0.12529583275318146]]
[[0.05808301270008087], [0.06721975654363632], [-0.3333832323551178], [0.12451406568288803]]
[[0.059326887130737305], [0.06748564541339874], [-0.334227979183197], [0.124799944460392]]
[[0.05954776331782341], [0.06693968921899796], [-0.3353536128997803], [0.12425515800714493]]
[[0.060046497732400894], [0.06699548661708832], [-0.33548787236213684], [0.12442333251237869]]
[[0.060399312525987625], [0.06713792681694031], [-0.3354825973510742], [0.12460797280073166]]
[[0.06056342273950577], [0.06717805564403534], [-0.3355656564235687], [0.12466108798980713]]
[[0.060639891773462296], [0.06718333065509796], [-0.33561447262763977], [0.12467732280492783]]
[[0.060714926570653915], [0.0672011598944664], [-0.3356805741786957], [0.12469363212585449]]
[[0.060737356543540955], [0.06719433516263962], [-0.3356805741786957], [0.12469319999217987]]
[[0.060745496302843094], [0.06718674302101135], [-0.3356805741786957], [0.12468376010656357]]
[[0.060749445110559464], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
[[0.06075040623545647], [0.06717916578054428], [-0.3356805741786957], [0.12467803806066513]]
