[[-1.052804708480835], [-0.32404154539108276], [0.23536360263824463], [-0.9919435381889343]]
[[1.0193321704864502], [-0.4660034775733948], [-0.6639255285263062], [0.007932000793516636]]
[[0.7972365021705627], [-0.49527937173843384], [-0.9273721575737], [0.5278504490852356]]
[[1.0047030448913574], [-0.47770315408706665], [-0.9968186020851135], [0.491590291261673]]
[[1.0070621967315674], [-0.4903319478034973], [-0.9908173084259033], [0.4808896481990814]]
[[1.002289891242981], [-0.4947139620780945], [-0.9966396689414978], [0.4744148850440979]]
[[1.0020174980163574], [-0.49535903334617615], [-0.9974861145019531], [0.4738413691520691]]
[[1.0020872354507446], [-0.4953232705593109], [-0.9973069429397583], [0.473995178937912]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
[[1.0020872354507446], [-0.49528464674949646], [-0.9973069429397583], [0.47401711344718933]]
