[[0.2046741247177124], [-0.003342747688293457], [0.5260516405105591], [-0.5843935608863831]]
[[0.28986749053001404], [0.07280044257640839], [0.5927848815917969], [-0.4682941138744354]]
[[0.30163145065307617], [0.07577700912952423], [0.5767407417297363], [-0.46291428804397583]]
[[0.3044421672821045], [0.07541558146476746], [0.5704412460327148], [-0.46216118335723877]]
[[0.3047259747982025], [0.07528364658355713], [0.5697059631347656], [-0.46215084195137024]]
[[0.3047415018081665], [0.07530838251113892], [0.5695196986198425], [-0.4620690643787384]]
[[0.30476444959640503], [0.07532207667827606], [0.5695195198059082], [-0.4620542526245117]]
[[0.30476608872413635], [0.07532118260860443], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
[[0.30476608872413635], [0.07532075047492981], [0.5695114135742188], [-0.4620548486709595]]
