[[-0.5208539962768555], [0.29881751537323], [-0.31862008571624756], [-0.35883939266204834]]
[[0.5985608100891113], [-0.022683240473270416], [-0.37830713391304016], [-0.13907819986343384]]
[[0.972122311592102], [-0.5528269410133362], [-1.16970956325531], [0.7257864475250244]]
[[1.0585153102874756], [-0.5442598462104797], [-0.9177950024604797], [0.5183473229408264]]
[[0.7970922589302063], [-0.3423275947570801], [-0.6619729995727539], [0.23946601152420044]]
[[1.073968768119812], [-0.49194538593292236], [-1.0031788349151611], [0.48113828897476196]]
[[0.9233049154281616], [-0.41703975200653076], [-0.7344234585762024], [0.3062881827354431]]
[[1.1054531335830688], [-0.5179799795150757], [-1.221039056777954], [0.5750423669815063]]
[[0.8049926161766052], [-0.378853440284729], [-0.8659862875938416], [0.38300177454948425]]
[[0.8005568981170654], [-0.36656779050827026], [-0.7115755677223206], [0.34344661235809326]]
[[0.8851885795593262], [-0.4994087219238281], [-0.9945821166038513], [0.545861005783081]]
[[0.943011999130249], [-0.411227285861969], [-1.0549546480178833], [0.4308677017688751]]
[[1.114657998085022], [-0.432848185300827], [-1.061845302581787], [0.3848732113838196]]
[[1.0927422046661377], [-0.46266496181488037], [-1.1089098453521729], [0.421983927488327]]
[[0.9852727055549622], [-0.516247570514679], [-0.946617066860199], [0.4390462040901184]]
[[0.9404453635215759], [-0.5261582136154175], [-0.9093037843704224], [0.4842042028903961]]
[[0.9530994296073914], [-0.5382246375083923], [-0.8642786741256714], [0.482668399810791]]
[[1.0015143156051636], [-0.5377045273780823], [-0.9822676777839661], [0.4987286627292633]]
[[1.0007861852645874], [-0.5302099585533142], [-0.9793557524681091], [0.5162680745124817]]
[[1.0294004678726196], [-0.51743084192276], [-1.024247169494629], [0.5083391070365906]]
[[1.0265154838562012], [-0.5181224346160889], [-1.0279808044433594], [0.5106220841407776]]
[[1.014770746231079], [-0.529686450958252], [-1.0545768737792969], [0.501976490020752]]
[[1.0305949449539185], [-0.5210109353065491], [-1.0639995336532593], [0.5043367743492126]]
[[1.0384669303894043], [-0.5178177356719971], [-1.0731782913208008], [0.5070832371711731]]
[[1.0406007766723633], [-0.5106344819068909], [-1.056515097618103], [0.5189471244812012]]
[[1.0384371280670166], [-0.5151304602622986], [-1.0667188167572021], [0.5206390023231506]]
[[1.0304406881332397], [-0.5232464671134949], [-1.0808619260787964], [0.5091896653175354]]
[[1.0318695306777954], [-0.5186989903450012], [-1.074565052986145], [0.5153552293777466]]
[[1.0359200239181519], [-0.5146855711936951], [-1.0695103406906128], [0.5207011103630066]]
[[1.0391703844070435], [-0.5137457251548767], [-1.069534420967102], [0.5230990052223206]]
[[1.0379220247268677], [-0.5138686895370483], [-1.0693418979644775], [0.5232398509979248]]
[[1.0367683172225952], [-0.5143457055091858], [-1.0696558952331543], [0.5228590965270996]]
[[1.0357555150985718], [-0.5147613286972046], [-1.0698997974395752], [0.5227673649787903]]
[[1.032875657081604], [-0.5173629522323608], [-1.0735433101654053], [0.519692599773407]]
[[1.0336178541183472], [-0.5164687633514404], [-1.072677731513977], [0.5207327008247375]]
[[1.0342316627502441], [-0.5159406661987305], [-1.0719127655029297], [0.5214334726333618]]
[[1.0340135097503662], [-0.5160297751426697], [-1.071930170059204], [0.5213366746902466]]
[[1.034408688545227], [-0.5153335332870483], [-1.070948600769043], [0.5222787857055664]]
[[1.034271240234375], [-0.5154018998146057], [-1.0710928440093994], [0.5220720767974854]]
