[[0.23567676544189453], [0.6024788618087769], [0.4749335050582886], [-0.38999801874160767]]
[[0.2317342758178711], [0.5982151627540588], [0.47057148814201355], [-0.39403432607650757]]
[[0.22971050441265106], [0.596089780330658], [0.4683433175086975], [-0.3960290849208832]]
[[0.2290605753660202], [0.5954086184501648], [0.46762552857398987], [-0.396698921918869]]
[[0.22884884476661682], [0.595166802406311], [0.4673934876918793], [-0.3969174921512604]]
[[0.22878025472164154], [0.5950953364372253], [0.4673198163509369], [-0.3969884216785431]]
[[0.22875772416591644], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
[[0.22875459492206573], [0.5950953364372253], [0.46729275584220886], [-0.3970140814781189]]
