[[0.5493264198303223], [0.7482562065124512], [0.6015279293060303], [-0.9973965883255005]]
[[0.5493264198303223], [0.7482562065124512], [0.6015279293060303], [-0.9973965883255005]]
[[0.5478760004043579], [0.7467541694641113], [0.5997448563575745], [-0.9987108707427979]]
[[0.5472008585929871], [0.7459779381752014], [0.5988438725471497], [-0.9993799328804016]]
[[0.5468778014183044], [0.7456039786338806], [0.5984204411506653], [-0.9996958374977112]]
[[0.5467156767845154], [0.7454121708869934], [0.5981928110122681], [-0.9998592138290405]]
[[0.5466428995132446], [0.7453281283378601], [0.5980892181396484], [-0.9999313950538635]]
[[0.5465923547744751], [0.7452731132507324], [0.5980216264724731], [-0.9999826550483704]]
[[0.5465747117996216], [0.7452526092529297], [0.5979994535446167], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
[[0.5465567111968994], [0.7452335357666016], [0.5979766845703125], [-1.0000001192092896]]
