[[-0.32845693826675415], [-0.26881253719329834], [0.7782351970672607], [-0.5355333089828491]]
[[0.9167581796646118], [-0.6245146989822388], [-1.0436532497406006], [0.7268002033233643]]
[[0.9772550463676453], [-0.592176079750061], [-0.9758912920951843], [0.45660871267318726]]
[[1.0648351907730103], [-0.4153687655925751], [-1.1654043197631836], [0.43371331691741943]]
[[1.0267465114593506], [-0.49967965483665466], [-1.0646114349365234], [0.5023906230926514]]
[[1.087035059928894], [-0.48192307353019714], [-1.058104157447815], [0.5330129265785217]]
[[1.0485401153564453], [-0.5145080089569092], [-1.0795841217041016], [0.5100069046020508]]
[[1.0512927770614624], [-0.5152999758720398], [-1.0782387256622314], [0.5120654106140137]]
[[1.0464537143707275], [-0.5209007263183594], [-1.0850965976715088], [0.5059264302253723]]
[[1.0473438501358032], [-0.519726574420929], [-1.0835593938827515], [0.5076834559440613]]
[[1.0474114418029785], [-0.5198342204093933], [-1.0840208530426025], [0.5072841048240662]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
[[1.0476723909378052], [-0.5196486115455627], [-1.0838391780853271], [0.5074712038040161]]
