[[-0.7712920904159546], [0.47885584831237793], [0.842216968536377], [0.3050410747528076]]
[[-0.7996573448181152], [0.44823262095451355], [0.8108466863632202], [0.2746291756629944]]
[[-0.8015260100364685], [0.44621792435646057], [0.808760404586792], [0.2726052701473236]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
[[-0.801578164100647], [0.44616350531578064], [0.8087006211280823], [0.27254995703697205]]
