[[0.8758922815322876], [0.26904523372650146], [0.3921515941619873], [-0.8496799468994141]]
[[0.9193368554115295], [0.14789631962776184], [-0.317743182182312], [-0.41342976689338684]]
[[1.0002365112304688], [-0.05617441236972809], [-0.792888879776001], [-0.002183001022785902]]
[[1.0692356824874878], [-0.1497439742088318], [-0.9736055731773376], [0.18760710954666138]]
[[0.9921931624412537], [-0.2500220537185669], [-1.014641523361206], [0.26512882113456726]]
[[0.9905621409416199], [-0.4976256191730499], [-0.8739407062530518], [0.4109867513179779]]
[[1.0321706533432007], [-0.46445292234420776], [-1.0233409404754639], [0.39545929431915283]]
[[0.9544042944908142], [-0.47066110372543335], [-0.991247832775116], [0.39931806921958923]]
[[0.9063065648078918], [-0.4950651228427887], [-0.9047391414642334], [0.5205625295639038]]
[[0.9911415576934814], [-0.47886183857917786], [-1.0205930471420288], [0.4612002372741699]]
[[1.0219473838806152], [-0.4613851010799408], [-1.0112553834915161], [0.4712667763233185]]
[[0.952459990978241], [-0.4868042469024658], [-0.9454066753387451], [0.4812844693660736]]
[[0.9601917862892151], [-0.48980963230133057], [-0.9814612865447998], [0.46031108498573303]]
[[0.9711148142814636], [-0.4757179021835327], [-0.9708419442176819], [0.47882094979286194]]
[[0.9625136852264404], [-0.48401007056236267], [-0.9509315490722656], [0.47773289680480957]]
[[0.9451712369918823], [-0.5045779943466187], [-0.952741801738739], [0.48511645197868347]]
[[0.9661936163902283], [-0.48514890670776367], [-0.9500205516815186], [0.4965469241142273]]
[[0.971835732460022], [-0.49082040786743164], [-0.954569399356842], [0.4946961998939514]]
[[0.9818465113639832], [-0.48165541887283325], [-0.9484326839447021], [0.49950817227363586]]
[[0.9722913503646851], [-0.4924974739551544], [-0.9538047313690186], [0.4885026514530182]]
[[0.9744369983673096], [-0.49185711145401], [-0.9524282217025757], [0.48927396535873413]]
[[0.9721640944480896], [-0.497338205575943], [-0.9563814997673035], [0.48953405022621155]]
[[0.9748665690422058], [-0.4948001503944397], [-0.9516926407814026], [0.4938698709011078]]
[[0.9753549098968506], [-0.4961806535720825], [-0.950880229473114], [0.4939884841442108]]
[[0.9769891500473022], [-0.49482327699661255], [-0.9485504031181335], [0.4960014522075653]]
[[0.9768905639648438], [-0.495138943195343], [-0.9486321210861206], [0.49515968561172485]]
[[0.9765196442604065], [-0.4953446388244629], [-0.9481807351112366], [0.4951586127281189]]
[[0.9763190150260925], [-0.49570974707603455], [-0.9488443732261658], [0.4944862127304077]]
[[0.9758878946304321], [-0.4961909055709839], [-0.9487905502319336], [0.49412819743156433]]
[[0.9751603603363037], [-0.49704521894454956], [-0.9495255947113037], [0.4937625825405121]]
[[0.9753953814506531], [-0.4971718192100525], [-0.9489864706993103], [0.49434709548950195]]
[[0.9755231738090515], [-0.49715062975883484], [-0.9487655758857727], [0.49445295333862305]]
[[0.9750127792358398], [-0.4977053999900818], [-0.9493995308876038], [0.49391695857048035]]
[[0.9751004576683044], [-0.4977525472640991], [-0.9497841000556946], [0.4936268627643585]]
[[0.9753589034080505], [-0.4974968731403351], [-0.9495340585708618], [0.49384307861328125]]
[[0.9755288362503052], [-0.4973601698875427], [-0.9494130611419678], [0.49396058917045593]]
[[0.9755449891090393], [-0.49737152457237244], [-0.9493646025657654], [0.49397599697113037]]
[[0.9755704402923584], [-0.4973640739917755], [-0.9493079781532288], [0.4939965307712555]]
[[0.9755673408508301], [-0.4973870515823364], [-0.9492890238761902], [0.4939841032028198]]
[[0.9756057262420654], [-0.497368186712265], [-0.9492412209510803], [0.49400830268859863]]
[[0.9755309224128723], [-0.49744486808776855], [-0.9493302702903748], [0.4939279556274414]]
