[[0.4534226655960083], [-0.5837142467498779], [-0.5980650186538696], [-0.008360505104064941]]
[[0.6585406064987183], [-0.3928174376487732], [-0.44401872158050537], [0.18266409635543823]]
[[0.6617156863212585], [-0.3899322748184204], [-0.44433432817459106], [0.18547053635120392]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
[[0.6618937253952026], [-0.38979506492614746], [-0.44428008794784546], [0.18561959266662598]]
