[[1.0942256450653076], [0.605302095413208], [-0.9300292730331421], [-0.4661426544189453]]
[[0.9530484676361084], [0.4728015065193176], [-1.0103455781936646], [-0.5203630924224854]]
[[0.9534472823143005], [0.4721634089946747], [-1.0043797492980957], [-0.5128308534622192]]
[[0.9534599184989929], [0.4721423387527466], [-1.0042368173599243], [-0.5127251744270325]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
[[0.9534652829170227], [0.4721432030200958], [-1.0042226314544678], [-0.5127152800559998]]
