[[0.5767905712127686], [0.6076236963272095], [0.7451299428939819], [-0.2735013961791992]]
[[0.3259216547012329], [0.2600110173225403], [0.2979434132575989], [-0.5473969578742981]]
[[0.36581844091415405], [0.2003909796476364], [0.178830087184906], [-0.4997960925102234]]
[[0.34783315658569336], [0.159910187125206], [0.09082306921482086], [-0.4876784682273865]]
[[0.3880666196346283], [0.18372471630573273], [0.07020535320043564], [-0.45365390181541443]]
[[0.38879409432411194], [0.15105754137039185], [-0.026492957025766373], [-0.4560427963733673]]
[[0.38681507110595703], [0.14489524066448212], [-0.05220678821206093], [-0.46287381649017334]]
[[0.38907137513160706], [0.14820148050785065], [-0.04732915014028549], [-0.45014479756355286]]
[[0.3861333727836609], [0.14090575277805328], [-0.057998571544885635], [-0.45425736904144287]]
[[0.3911813199520111], [0.1429542452096939], [-0.061815015971660614], [-0.4480273127555847]]
[[0.39644256234169006], [0.1468481719493866], [-0.05994651839137077], [-0.4442935585975647]]
[[0.39861923456192017], [0.14862866699695587], [-0.05778231471776962], [-0.44124042987823486]]
[[0.4014470875263214], [0.15028682351112366], [-0.05717189237475395], [-0.43901100754737854]]
[[0.4031277894973755], [0.15083755552768707], [-0.05821254476904869], [-0.43818774819374084]]
[[0.4025263786315918], [0.15010228753089905], [-0.059276070445775986], [-0.43881773948669434]]
[[0.40227606892585754], [0.14965862035751343], [-0.059857871383428574], [-0.4391581416130066]]
[[0.4020717442035675], [0.14935095608234406], [-0.06025366112589836], [-0.43939995765686035]]
[[0.4022679626941681], [0.14940331876277924], [-0.060346875339746475], [-0.43931734561920166]]
[[0.4024147093296051], [0.14954645931720734], [-0.060268234461545944], [-0.4391661286354065]]
[[0.4024410545825958], [0.1495671570301056], [-0.06027273088693619], [-0.4391116499900818]]
[[0.4024113118648529], [0.14952215552330017], [-0.06034036725759506], [-0.43914926052093506]]
[[0.4024505317211151], [0.1495390236377716], [-0.06032831594347954], [-0.4391099810600281]]
[[0.40246641635894775], [0.14954493939876556], [-0.060324907302856445], [-0.43909719586372375]]
[[0.4024704098701477], [0.14954276382923126], [-0.060329992324113846], [-0.43909570574760437]]
[[0.40246397256851196], [0.14953184127807617], [-0.06034122407436371], [-0.43910396099090576]]
[[0.40245670080184937], [0.14952057600021362], [-0.06035305932164192], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.0603535957634449], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.06035510078072548], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.06035686656832695], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
[[0.40245670080184937], [0.1495211124420166], [-0.060358889400959015], [-0.43911296129226685]]
