[[0.7129263877868652], [0.8111071586608887], [0.10024213790893555], [-0.039883971214294434]]
[[0.3873555064201355], [0.4138169586658478], [-0.348000705242157], [-0.3393650949001312]]
[[0.44012513756752014], [0.4049164652824402], [-0.4144134521484375], [-0.3086123466491699]]
[[0.45942503213882446], [0.40280795097351074], [-0.4220767319202423], [-0.2921256422996521]]
[[0.4536955952644348], [0.39297589659690857], [-0.4335474669933319], [-0.2979234457015991]]
[[0.45391133427619934], [0.3904606103897095], [-0.4377412796020508], [-0.29950377345085144]]
[[0.45319491624832153], [0.3892073631286621], [-0.4393179714679718], [-0.3002220094203949]]
[[0.45312437415122986], [0.3890397250652313], [-0.4396730065345764], [-0.30026867985725403]]
[[0.45311233401298523], [0.38897836208343506], [-0.43978631496429443], [-0.30029091238975525]]
[[0.4531261622905731], [0.3889707922935486], [-0.43980643153190613], [-0.30027803778648376]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
[[0.4531327486038208], [0.3889686167240143], [-0.43981078267097473], [-0.30027738213539124]]
