[[-0.04869043827056885], [0.37638843059539795], [-0.3765960931777954], [-0.40930819511413574]]
[[0.880108118057251], [0.10159658640623093], [-0.9453287124633789], [-0.0479443222284317]]
[[1.0309303998947144], [-0.3324640095233917], [-0.8551409244537354], [0.16531196236610413]]
[[0.847728431224823], [-0.5296065807342529], [-0.6667792797088623], [0.4142264723777771]]
[[0.9587385654449463], [-0.4546438157558441], [-0.8413231372833252], [0.3844892978668213]]
[[0.9525787830352783], [-0.48108750581741333], [-0.8852446675300598], [0.3781738579273224]]
[[0.9478307366371155], [-0.4843631386756897], [-0.8927936553955078], [0.37763622403144836]]
[[0.9565638303756714], [-0.47631335258483887], [-0.8978906869888306], [0.37973085045814514]]
[[0.958076536655426], [-0.4750078320503235], [-0.8996697068214417], [0.3798794746398926]]
[[0.9587298035621643], [-0.4744779169559479], [-0.9011773467063904], [0.3798203766345978]]
[[0.9588325619697571], [-0.4743943512439728], [-0.9015989303588867], [0.3797862231731415]]
[[0.9588253498077393], [-0.4744601845741272], [-0.9018561840057373], [0.379801869392395]]
[[0.958989143371582], [-0.4743167459964752], [-0.9017210602760315], [0.37996816635131836]]
[[0.9590907692909241], [-0.47426432371139526], [-0.9016330242156982], [0.38002219796180725]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
[[0.9590907692909241], [-0.4741811156272888], [-0.9016330242156982], [0.38011643290519714]]
