[[-0.03202390670776367], [0.9510576725006104], [-1.0708380937576294], [0.6580448150634766]]
[[0.9914721846580505], [-0.44588232040405273], [-0.7553849816322327], [0.4927787184715271]]
[[1.3757058382034302], [-0.4708636701107025], [-1.199102520942688], [0.4567703604698181]]
[[1.3008359670639038], [-0.8555348515510559], [-0.6610820889472961], [0.4509873390197754]]
[[0.9993376731872559], [-0.33748123049736023], [-1.0501283407211304], [0.3709769546985626]]
[[0.7895992398262024], [-0.31884104013442993], [-0.8148061633110046], [0.32511046528816223]]
[[0.7108941674232483], [-0.42311713099479675], [-0.7113637328147888], [0.3356010913848877]]
[[0.9806484580039978], [-0.3666757047176361], [-1.061265230178833], [0.430174857378006]]
[[0.9315287470817566], [-0.4695475995540619], [-0.798418402671814], [0.3915601074695587]]
[[0.9134625196456909], [-0.5228007435798645], [-0.9472054243087769], [0.551020085811615]]
[[1.12894868850708], [-0.5248789191246033], [-1.0878124237060547], [0.5142675638198853]]
[[1.0456478595733643], [-0.5764679908752441], [-0.9305369853973389], [0.5313175320625305]]
[[0.9332134127616882], [-0.6335455775260925], [-0.8670601844787598], [0.588521420955658]]
[[1.0849792957305908], [-0.5501940250396729], [-1.0583158731460571], [0.5102756023406982]]
[[1.0742161273956299], [-0.5444929599761963], [-1.0485633611679077], [0.5173470377922058]]
[[1.0901505947113037], [-0.5264931321144104], [-1.0887826681137085], [0.5168664455413818]]
[[1.1046149730682373], [-0.5288028120994568], [-1.119734764099121], [0.5160627961158752]]
[[1.074434518814087], [-0.5322644114494324], [-1.0945427417755127], [0.5344235301017761]]
[[1.0483677387237549], [-0.5610836744308472], [-1.0989010334014893], [0.5256258249282837]]
[[1.0759515762329102], [-0.5492964386940002], [-1.083681344985962], [0.5482012033462524]]
[[1.062455654144287], [-0.5635916590690613], [-1.0883655548095703], [0.5419542789459229]]
[[1.0649548768997192], [-0.5634884238243103], [-1.086246371269226], [0.5384328365325928]]
[[1.0707170963287354], [-0.5559374094009399], [-1.0789086818695068], [0.5456659197807312]]
[[1.0723226070404053], [-0.5528250932693481], [-1.0734055042266846], [0.5518026351928711]]
[[1.0672154426574707], [-0.5575563907623291], [-1.0758599042892456], [0.5504212379455566]]
[[1.0641535520553589], [-0.5595462322235107], [-1.076482892036438], [0.5516963601112366]]
[[1.0647327899932861], [-0.5587133765220642], [-1.0757732391357422], [0.5527228713035583]]
[[1.059928297996521], [-0.5640965700149536], [-1.0813324451446533], [0.5480638742446899]]
[[1.061830997467041], [-0.5617793798446655], [-1.0794188976287842], [0.5504827499389648]]
[[1.063759207725525], [-0.5595739483833313], [-1.0786784887313843], [0.5520761013031006]]
[[1.0639755725860596], [-0.5592252612113953], [-1.0781916379928589], [0.5524203181266785]]
[[1.0618171691894531], [-0.5610777735710144], [-1.0790643692016602], [0.5512662529945374]]
[[1.0634206533432007], [-0.5596634149551392], [-1.0775296688079834], [0.5526950359344482]]
[[1.0631495714187622], [-0.5600162148475647], [-1.077991247177124], [0.5523437857627869]]
[[1.0632611513137817], [-0.5598636865615845], [-1.0778203010559082], [0.552537739276886]]
[[1.063342809677124], [-0.5597338676452637], [-1.0776766538619995], [0.5526950359344482]]
[[1.0637636184692383], [-0.5594021081924438], [-1.077398419380188], [0.5529928803443909]]
[[1.0639901161193848], [-0.5591347813606262], [-1.077093482017517], [0.5533350110054016]]
[[1.0638976097106934], [-0.5592395663261414], [-1.0771172046661377], [0.5531986951828003]]
[[1.0639456510543823], [-0.5592065453529358], [-1.0770676136016846], [0.553289532661438]]
[[1.0639773607254028], [-0.5591709613800049], [-1.077039361000061], [0.5533387660980225]]
