[[1.0799577236175537], [-0.4299660325050354], [-0.4757091999053955], [-0.17181700468063354]]
[[0.8508294820785522], [-0.5401700735092163], [-0.5535415410995483], [0.26605531573295593]]
[[1.2157894372940063], [-0.546424388885498], [-1.1874656677246094], [0.5388631224632263]]
[[1.1700242757797241], [-0.782532274723053], [-1.2024301290512085], [0.841241180896759]]
[[0.9300776124000549], [-0.7628976106643677], [-1.0114389657974243], [0.857466459274292]]
[[0.9271184206008911], [-0.7006738781929016], [-0.9742763638496399], [0.7738280892372131]]
[[1.009734869003296], [-0.6999754309654236], [-1.0318994522094727], [0.7650014162063599]]
[[0.9792692065238953], [-0.6771740913391113], [-0.9594648480415344], [0.7409663200378418]]
[[1.0033204555511475], [-0.6509641408920288], [-1.0247119665145874], [0.6663299798965454]]
[[1.0123507976531982], [-0.649939775466919], [-1.0283645391464233], [0.6914252638816833]]
[[1.0058921575546265], [-0.6603342294692993], [-1.058784008026123], [0.6591514348983765]]
[[1.019938349723816], [-0.6493672132492065], [-1.0608243942260742], [0.6646742820739746]]
[[1.0194865465164185], [-0.653781533241272], [-1.0873658657073975], [0.6433349251747131]]
[[1.0293852090835571], [-0.646917998790741], [-1.086915135383606], [0.6470762491226196]]
[[1.0295891761779785], [-0.6470730304718018], [-1.0889027118682861], [0.6456881761550903]]
[[1.0317045450210571], [-0.645594596862793], [-1.0894300937652588], [0.6458551287651062]]
[[1.0319169759750366], [-0.6462019681930542], [-1.0905802249908447], [0.6455810070037842]]
[[1.0331971645355225], [-0.6449900269508362], [-1.0895391702651978], [0.6464604735374451]]
[[1.0330814123153687], [-0.6454154849052429], [-1.0900623798370361], [0.6461031436920166]]
[[1.0337483882904053], [-0.6448140144348145], [-1.0899003744125366], [0.6465106010437012]]
[[1.033919095993042], [-0.6447075009346008], [-1.0899115800857544], [0.6465914845466614]]
[[1.034039855003357], [-0.644623875617981], [-1.0899015665054321], [0.6466359496116638]]
[[1.0339953899383545], [-0.6446859836578369], [-1.0900193452835083], [0.6465920805931091]]
[[1.0339953899383545], [-0.6446433067321777], [-1.0900193452835083], [0.6466041803359985]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
[[1.0339953899383545], [-0.6445905566215515], [-1.0900193452835083], [0.6466337442398071]]
