[[0.3107396364212036], [-0.006403446197509766], [-0.7888338565826416], [-0.4959027171134949]]
[[0.322437047958374], [0.005020905751734972], [-0.77751624584198], [-0.4842534065246582]]
[[0.3290554881095886], [0.011568678542971611], [-0.7712399363517761], [-0.4776369333267212]]
[[0.3321485221385956], [0.014627792872488499], [-0.7682963013648987], [-0.4745645523071289]]
[[0.33369261026382446], [0.016147185117006302], [-0.7668851613998413], [-0.47303271293640137]]
[[0.3347569704055786], [0.01725870743393898], [-0.7657793760299683], [-0.4719623923301697]]
[[0.33497366309165955], [0.017448268830776215], [-0.7656404376029968], [-0.471743643283844]]
[[0.3350464403629303], [0.017544124275445938], [-0.7655001878738403], [-0.4716701805591583]]
[[0.3351118564605713], [0.017584575340151787], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.017619691789150238], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762421987950802], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
[[0.3351118564605713], [0.01762831211090088], [-0.7655001878738403], [-0.47160404920578003]]
